#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
レザーグラブ,0,0,1,1,1,1,1,71,-1,0,0,0,1,採取,1,気まぐれ,1,,,,,,,暖かい毛皮,2,,,,,,
ブレイブグラブ,0,0,1,0,1,1,1,71,2,0,0,0,1,採取,3,運気,2,体力,-2,乗り,2,,,竜骨【小】,1,,,,,,
チェーングラブ,0,0,1,1,1,1,4,73,2,1,-2,1,0,体力,1,腹減り,2,,,,,,,鉄鉱石,1,砥石,2,,,,
ハンターアーム,0,1,1,1,1,1,6,112,0,1,-3,0,0,調合成功率,1,狩人,3,毒,-1,,,,,大地の結晶,1,ジャギィの鱗,2,ツタの葉,1,,
ハンターガード,0,2,1,1,1,1,3,72,1,2,-2,1,1,調合成功率,1,狩人,3,毒,-1,,,,,大地の結晶,1,ジャギィの鱗,2,ツタの葉,1,,
ボーンアーム,0,1,1,1,1,2,7,113,1,0,-1,-2,0,KO,3,笛,1,,,,,,,なぞの骨,2,竜骨【小】,2,モンスターの体液,2,,
ボーンガード,0,2,1,1,1,2,4,73,2,1,0,-1,1,KO,3,笛,1,,,,,,,なぞの骨,2,竜骨【小】,2,モンスターの体液,2,,
アロイアーム,0,1,1,1,1,1,8,114,-1,1,-2,-1,0,防御,2,採取,-1,風圧,1,,,,,マカライト鉱石,2,大地の結晶,2,鉄鉱石,4,,
アロイガード,0,2,1,1,1,1,4,73,0,2,-1,0,1,採取,-1,散弾強化,1,散弾追加,2,,,,,マカライト鉱石,2,大地の結晶,2,鉄鉱石,4,,
クンチュウアーム,0,1,2,1,1,2,12,116,2,2,2,2,2,防御,6,雷耐性,-2,,,,,,,盾虫の甲殻,5,とがった牙,3,鉄鉱石,2,のりこねバッタ,1
クンチュウガード,0,2,2,1,1,2,6,73,3,3,3,3,3,防御,6,雷耐性,-2,,,,,,,盾虫の甲殻,5,とがった牙,3,鉄鉱石,2,のりこねバッタ,1
ブナハグローブ,0,1,2,0,1,2,10,116,-4,-1,2,-1,2,攻撃,-2,特殊攻撃,2,納刀,3,麻痺,1,,,飛甲虫の羽,3,飛甲虫の甲殻,2,甲虫の腹袋,2,光蟲,2
ブナハカフス,0,2,2,0,1,2,5,73,-3,0,3,0,3,攻撃,-2,特殊攻撃,2,納刀,3,麻痺,1,,,飛甲虫の羽,3,飛甲虫の甲殻,2,甲虫の腹袋,2,光蟲,2
リノプロアーム,0,1,2,1,1,3,8,114,1,-1,-1,-1,1,砲術,2,KO,3,気絶,-2,耐泥耐雪,1,,,草食竜の甲殻,2,竜骨【中】,4,鉄鉱石,2,,
リノプロガード,0,2,2,1,1,3,4,73,2,0,0,0,2,砲術,2,KO,2,気絶,-2,耐泥耐雪,1,,,草食竜の甲殻,2,竜骨【中】,4,鉄鉱石,2,,
ガブラスーツグラブ,0,1,2,2,3,99,15,117,1,-2,2,1,-3,属性解放,2,属性耐性,-1,毒,1,,,,,縞模様の皮,5,火竜の翼膜,2,キラビートル,1,蟲のコイン,1
ガブラスーツハンド,0,2,2,2,3,99,8,74,2,-1,3,2,-2,属性解放,2,属性耐性,-1,毒,1,,,,,縞模様の皮,5,火竜の翼膜,2,キラビートル,1,蟲のコイン,1
ジャギィアーム,0,1,2,1,1,2,10,116,-2,0,0,0,1,研ぎ師,4,効果持続,-2,気絶,1,,,,,狗竜の爪,2,狗竜の皮,3,ジャギィの鱗,2,大地の結晶,2
ジャギィガード,0,2,2,1,1,2,5,73,-1,1,1,1,2,装填速度,4,効果持続,-2,気絶,1,,,,,狗竜の爪,2,狗竜の皮,3,ジャギィの鱗,2,大地の結晶,2
ゲネポスアーム,0,1,2,1,2,3,12,116,1,1,-2,-3,2,特殊攻撃,3,回復速度,-2,麻痺,1,,,,,ドスゲネポスの皮,2,ゲネポスの鱗,3,鉄鉱石,2,ゲネポスの麻痺牙,5
ゲネポスガード,0,2,2,1,2,3,6,73,2,2,-1,-2,3,特殊攻撃,3,回復速度,-2,麻痺,1,,,,,ドスゲネポスの皮,2,ゲネポスの鱗,3,鉄鉱石,2,ゲネポスの麻痺牙,5
イーオスアーム,0,1,2,1,3,5,15,117,0,-3,-3,2,2,特殊攻撃,3,毒,1,気絶,-2,,,,,ドスイーオスの皮,1,イーオスの毒牙,5,イーオスの鱗,2,鉄鉱石,2
イーオスガード,0,2,2,1,3,5,8,74,1,-2,-2,3,3,特殊攻撃,3,毒,1,気絶,-2,,,,,ドスイーオスの皮,1,イーオスの毒牙,5,イーオスの鱗,2,鉄鉱石,2
ウルクアーム,0,1,2,1,2,4,15,117,-2,2,-1,2,2,回避距離,2,耐暑,-1,耐寒,3,,,,,白兎獣の氷爪,2,白兎獣の毛,2,白兎獣の腹甲,1,肉厚な皮,4
ウルクガード,0,2,2,1,2,4,8,74,-1,3,0,3,3,回避距離,2,耐暑,-1,耐寒,3,,,,,白兎獣の氷爪,2,白兎獣の毛,2,白兎獣の腹甲,1,肉厚な皮,4
ケチャアーム,0,1,2,1,1,3,14,116,-3,2,-2,0,2,運気,-2,水属性攻撃,3,気まぐれ,1,,,,,奇猿狐の毛,3,奇猿狐の長骨,2,竜骨【小】,2,ツタの葉,3
ケチャガード,0,2,2,1,1,3,7,74,-2,3,-1,1,3,運気,-2,水属性攻撃,3,気まぐれ,1,,,,,奇猿狐の毛,3,奇猿狐の長骨,2,竜骨【小】,2,ツタの葉,3
コンガアーム,0,1,2,1,2,4,14,116,-3,1,1,-1,2,細菌学,2,食いしん坊,1,腹減り,-2,,,,,桃毛獣の毛,2,とがった爪,3,獣骨,4,キラビートル,1
コンガガード,0,2,2,1,2,4,7,74,-2,2,2,0,3,細菌学,2,食いしん坊,1,腹減り,-2,,,,,桃毛獣の毛,2,とがった爪,3,獣骨,4,キラビートル,1
ゲリョスアーム,0,1,2,2,1,3,14,116,-4,1,2,-2,0,スタミナ,3,腹減り,-2,毒,2,,,,,ゴム質の皮,3,大地の結晶,2,マカライト鉱石,2,,
ゲリョスガード,0,2,2,2,1,3,7,74,-3,2,3,-1,1,スタミナ,3,腹減り,-2,毒,2,,,,,ゴム質の皮,3,大地の結晶,2,マカライト鉱石,2,,
