#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
レザーベルト,0,0,1,0,1,1,1,71,-1,0,0,0,1,採取,3,運気,-1,体力,2,気まぐれ,1,,,暖かい毛皮,1,竜骨【小】,1,,,,
ブレイブベルト,0,0,1,2,1,1,1,71,2,0,0,0,1,体力,-2,回復速度,3,乗り,1,,,,,竜骨【小】,1,鉄鉱石,1,,,,
チェーンベルト,0,0,1,1,1,1,4,73,2,1,-2,1,0,体力,2,腹減り,4,,,,,,,鉄鉱石,1,暖かい毛皮,2,,,,
ハンターフォールド,0,1,1,1,1,1,6,112,0,1,-3,0,0,調合成功率,2,狩人,1,毒,-1,,,,,マカライト鉱石,2,鉄鉱石,1,のりこねバッタ,1,,
ハンターコート,0,2,1,1,1,1,3,72,1,2,-2,1,1,調合成功率,2,狩人,1,毒,-1,,,,,マカライト鉱石,2,鉄鉱石,1,のりこねバッタ,1,,
ボーンフォールド,0,1,1,1,1,2,7,113,1,0,-1,-2,0,KO,2,笛,3,,,,,,,なぞの骨,2,竜骨【小】,2,とがった牙,2,,
ボーンコート,0,2,1,1,1,2,4,73,2,1,0,-1,1,KO,2,笛,3,,,,,,,なぞの骨,2,竜骨【小】,2,とがった牙,2,,
アロイコイル,0,1,1,0,1,1,8,114,-1,1,-2,-1,0,防御,4,採取,-1,風圧,1,,,,,マカライト鉱石,2,竜骨【小】,2,鉄鉱石,3,,
アロイコート,0,2,1,0,1,1,4,73,0,2,-1,0,1,採取,-2,散弾強化,3,散弾追加,2,,,,,マカライト鉱石,2,竜骨【小】,2,鉄鉱石,3,,
ロックラックコイル,0,0,1,2,1,2,5,73,2,-3,1,0,0,耐暑,3,運搬,4,,,,,,,鋼のたまご,1,甲虫の大顎,1,とがった牙,3,,
スキンライトベルト,0,0,1,1,2,3,5,73,-2,2,2,2,-2,採取,4,運搬,5,,,,,,,垂皮竜の皮,5,甲虫の腹袋,3,カワズの油,3,,
アイアンベルト,0,0,1,1,2,4,8,74,4,-4,-6,-2,0,高速収集,10,,,,,,,,,ドラグライト鉱石,2,暖かい毛皮,3,盾虫の甲殻,5,,
